,simple_polytope,p3,temperature(p3),p3_odd,p4,temperature(p4),p4_odd,p5,temperature(p5),p5_odd,p6,temperature(p6),p6_odd,p7,temperature(p7),sum(pk_for_k>7),n,independence_number,second_largest_adjacency_eigenvalue,matching_number,claw_free,avg(temperature),max(temperature),|p3 - p6|,|p4 - p6|,|p5 - p6|,|p6 - p7|,rad,diam,max(pk),fullerene,p3>0,p4>0,p5>0,p6>0,p3>p4,p4>p5,p5>p6,p6>p7,sum(pk_for_k>7)>(p3+p4+p5+p6+p7),sum(pk_for_k>7)<(p3+p4+p5+p6+p7),perfect_matching,p3<p4,p4<p5,p5<p6,p6<p7
441,True,20,,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,0.0,12,3,2.2360679774997902,6,True,,,20,0,0,0,3,3,20,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
442,True,0,0.0,False,0,0.0,False,12,,False,0,0.0,False,0,0.0,0.0,20,8,2.236067977499792,10,False,,,0,0,12,0,5,5,12,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False
443,True,1,0.015873015873015872,True,36,1.2857142857142858,False,12,0.23076923076923078,False,1,0.015873015873015872,True,3,0.04918032786885246,11.0,124,57,2.9703232048376393,62,False,0.041331650392932115,1.2857142857142858,0,35,11,2,9,17,36,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,True
444,True,0,0.0,False,66,1.1,False,29,0.29896907216494845,True,8,0.06779661016949153,False,4,0.03278688524590164,19.0,248,113,2.986295195087013,124,False,0.019258345200025544,1.1,8,58,21,4,11,21,66,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
445,True,0,0.0,False,53,1.2926829268292683,True,16,0.20512820512820512,False,5,0.056179775280898875,True,4,0.044444444444444446,16.0,184,84,2.9808978701681066,92,False,0.028211444545057952,1.2926829268292683,5,48,11,1,10,19,53,False,False,True,True,True,False,True,True,True,False,True,True,True,False,False,False
446,True,2,0.0049504950495049506,False,219,1.1711229946524064,True,81,0.24923076923076923,True,20,0.05181347150259067,False,19,0.04909560723514212,65.0,808,370,2.9968604279035187,404,False,0.0060021193442852325,1.1711229946524064,18,199,61,1,15,30,219,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
447,True,0,0.0,False,114,1.3902439024390243,False,40,0.2564102564102564,False,6,0.031578947368421054,False,8,0.0425531914893617,28.0,388,176,2.9926807596089886,194,False,0.012974240209970407,1.3902439024390243,6,108,34,2,13,24,114,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True
448,True,1,0.02631578947368421,True,20,1.0526315789473684,False,7,0.21875,True,3,0.08333333333333333,True,2,0.05405405405405406,6.0,74,34,2.933776823800122,37,False,0.07267217875770507,1.0526315789473684,2,17,4,1,9,13,20,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
449,True,1,0.0035971223021582736,True,144,1.0666666666666667,False,63,0.2916666666666667,True,17,0.0648854961832061,True,13,0.04887218045112782,41.0,554,249,2.9947437210763646,277,False,0.008394636981099974,1.0666666666666667,16,127,46,4,13,25,144,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False
450,True,1,0.01098901098901099,True,54,1.4210526315789473,False,15,0.19480519480519481,True,3,0.033707865168539325,True,3,0.033707865168539325,16.0,180,82,2.981639935113426,90,False,0.028418077558464892,1.4210526315789473,2,51,12,0,10,19,54,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False
