,first_disk_embedded,first_disk_t_bundle,second_disk_embedded,second_disk_t_bundle,length_first_disk,length_second_disk,length_third_disk,length_fourth_disk,length_fifth_disk,length_sixth_disk,N,fake_surface
269,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
270,False,False,False,False,12,5,4.0,2.0,1.0,,17,True
271,False,False,False,True,12,5,4.0,2.0,1.0,,17,True
272,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
273,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
274,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
275,False,False,False,True,12,5,4.0,2.0,1.0,,17,True
276,False,False,False,False,12,5,4.0,2.0,1.0,,17,True
277,False,False,False,False,12,5,4.0,2.0,1.0,,17,True
278,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
279,False,False,False,True,12,5,4.0,2.0,1.0,,17,True
280,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
281,False,True,False,False,12,5,4.0,2.0,1.0,,17,True
282,False,True,False,True,12,5,4.0,2.0,1.0,,17,True
283,False,True,False,False,12,5,4.0,2.0,1.0,,17,True
284,False,False,False,True,12,5,4.0,2.0,1.0,,17,True
285,False,False,False,True,12,5,4.0,2.0,1.0,,17,True
286,False,True,False,False,12,5,4.0,2.0,1.0,,17,True
287,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
288,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
289,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
290,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
291,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
292,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
293,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
294,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
295,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
296,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
297,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
298,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
299,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
300,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
301,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
302,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
303,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
304,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
305,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
306,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
307,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
308,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
309,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
310,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
311,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
312,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
313,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
314,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
315,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
316,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
317,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
318,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
319,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
320,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
321,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
322,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
323,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
324,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
325,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
326,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
327,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
328,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
329,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
330,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
331,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
332,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
333,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
334,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
335,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
336,False,False,False,False,17,3,2.0,1.0,1.0,,17,True
337,False,False,False,True,17,3,2.0,1.0,1.0,,17,True
338,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
339,False,True,False,False,17,3,2.0,1.0,1.0,,17,True
340,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
341,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
342,False,True,False,True,17,3,2.0,1.0,1.0,,17,True
343,False,True,True,True,17,2,2.0,2.0,1.0,,17,True
344,False,False,True,True,17,2,2.0,2.0,1.0,,17,True
345,False,True,True,False,17,2,2.0,2.0,1.0,,17,True
346,False,False,True,True,17,2,2.0,2.0,1.0,,17,True
347,False,True,True,False,17,2,2.0,2.0,1.0,,17,True
348,False,False,True,False,17,2,2.0,2.0,1.0,,17,True
349,False,True,True,True,17,2,2.0,2.0,1.0,,17,True
350,False,True,True,True,17,2,2.0,2.0,1.0,,17,True
351,False,False,True,False,17,2,2.0,2.0,1.0,,17,True
352,False,False,True,False,17,2,2.0,2.0,1.0,,17,True
353,False,True,False,True,15,4,3.0,1.0,1.0,,17,True
354,False,True,False,False,15,4,3.0,1.0,1.0,,17,True
355,False,True,False,False,15,4,3.0,1.0,1.0,,17,True
356,False,True,False,True,15,4,3.0,1.0,1.0,,17,True
357,False,True,False,True,15,4,3.0,1.0,1.0,,17,True
